HGNC symbol,GO term name
ANKH,membrane
ANKH,phosphate ion transmembrane transporter activity
ANKH,phosphate ion transmembrane transport
ANKH,plasma membrane
ANKH,skeletal system development
ANKH,regulation of bone mineralization
ANKH,transmembrane transport
ANKH,locomotory behavior
ANKH,outer membrane
ANKH,inorganic phosphate transmembrane transporter activity
ANKH,ATP transmembrane transporter activity
ANKH,ATP export
ANKH,inorganic diphosphate transmembrane transporter activity
ANKH,gene expression
ANKH,bone mineralization
ANKH,inorganic diphosphate transport
ANKH,muscle cell cellular homeostasis
ANKH,phosphate ion homeostasis
ANKH,calcium ion homeostasis
ANKH,diphosphate metabolic process
ANKH,cementum mineralization
ANKH,inhibition of non-skeletal tissue mineralization
ANKH,response to sodium phosphate
ANKH,extracellular region
ANKH,
ANKH,phosphate ion transport
FLVCR2,transmembrane transporter activity
FLVCR2,transmembrane transport
FLVCR2,membrane
FLVCR2,endoplasmic reticulum
FLVCR2,endoplasmic reticulum membrane
FLVCR2,plasma membrane
FLVCR2,mitochondrion
FLVCR2,mitochondrial membrane
FLVCR2,heme binding
FLVCR2,heme transmembrane transporter activity
FLVCR2,heme export
FLVCR2,
LETM1,calcium ion binding
LETM1,mitochondrial inner membrane
LETM1,ribosome binding
LETM1,membrane
LETM1,metal ion binding
LETM1,monoatomic ion transport
LETM1,mitochondrion
LETM1,potassium ion transport
LETM1,proton transmembrane transport
LETM1,protein binding
LETM1,antiporter activity
LETM1,calcium ion transport
LETM1,protein hexamerization
LETM1,inner mitochondrial membrane organization
LETM1,protein homooligomerization
LETM1,calcium:proton antiporter activity
LETM1,mitochondrial calcium ion transmembrane transport
LETM1,cristae formation
LETM1,mitochondrial calcium ion homeostasis
LETM1,negative regulation of mitochondrial calcium ion concentration
LETM1,calcium export from the mitochondrion
LETM1,mitochondrial potassium ion transmembrane transport
LETM1,regulation of cellular hyperosmotic salinity response
LETM1,
LETM2,
LETM2,mitochondrial inner membrane
LETM2,ribosome binding
LETM2,membrane
LETM2,mitochondrion
MAGT1,membrane
MAGT1,endoplasmic reticulum
MAGT1,endoplasmic reticulum membrane
MAGT1,plasma membrane
MAGT1,magnesium ion transport
MAGT1,magnesium ion transmembrane transport
MAGT1,oligosaccharyltransferase complex
MAGT1,transmembrane transport
MAGT1,azurophil granule membrane
MAGT1,cognition
MAGT1,protein glycosylation
MAGT1,protein N-linked glycosylation
MAGT1,protein N-linked glycosylation via asparagine
MAGT1,magnesium ion transmembrane transporter activity
MAGT1,
MFSD10,transmembrane transporter activity
MFSD10,transmembrane transport
MFSD10,membrane
MFSD10,
MFSD10,nucleus
MFSD10,plasma membrane
MFSD10,apoptotic process
MFSD10,protein binding
MFSD10,nuclear inner membrane
MFSD10,brush border membrane
MFSD10,sodium-independent organic anion transport
MFSD10,tetracycline transmembrane transporter activity
MFSD10,organic anion transmembrane transporter activity
MFSD10,tetracycline transmembrane transport
MFSD10,cytoplasmic vesicle membrane
MFSD2A,membrane
MFSD2A,symporter activity
MFSD2A,carbohydrate transport
MFSD2A,transmembrane transport
MFSD2A,endoplasmic reticulum
MFSD2A,endoplasmic reticulum membrane
MFSD2A,plasma membrane
MFSD2A,lipid transport
MFSD2A,protein binding
MFSD2A,organic substance transport
MFSD2A,fatty acid transport
MFSD2A,maintenance of blood-brain barrier
MFSD2A,transport across blood-brain barrier
MFSD2A,brain development
MFSD2A,cognition
MFSD2A,long-chain fatty acid transport
MFSD2A,long-chain fatty acid transporter activity
MFSD2A,motor behavior
MFSD2A,oleate transmembrane transporter activity
MFSD2A,lipid transport across blood-brain barrier
MFSD2A,phospholipid transporter activity
MFSD2A,phosphatidylcholine biosynthetic process
MFSD2A,hippocampus development
MFSD2A,cellular response to starvation
MFSD2A,energy homeostasis
MFSD2A,regulation of dendrite development
MFSD2A,regulation of neuron projection arborization
MFSD2A,regulation of phosphatidylcholine metabolic process
MFSD2A,regulation of phosphatidylethanolamine metabolic process
MFSD2A,regulation of phosphatidylserine metabolic process
MFSD2A,retinal pigment epithelium development
MFSD2A,photoreceptor cell morphogenesis
MFSD2A,positive regulation of triglyceride biosynthetic process
MFSD2A,positive regulation of cell growth
MFSD2A,negative regulation of fatty acid beta-oxidation
MFSD2A,very-low-density lipoprotein particle assembly
MFSD2A,photoreceptor cell outer segment organization
MFSD2A,regulation of multicellular organism growth
MFSD2A,retina morphogenesis in camera-type eye
MFSD2A,fatty acid transmembrane transporter activity
MFSD2A,lysophospholipid:sodium symporter activity
MFSD2A,lysophosphatidylcholine flippase activity
MFSD2A,transcytosis
MFSD2A,lysophospholipid transport
MFSD2A,establishment of blood-brain barrier
MFSD2A,lysophospholipid translocation
MFSD2A,
MFSD2B,membrane
MFSD2B,symporter activity
MFSD2B,carbohydrate transport
MFSD2B,transmembrane transport
MFSD2B,plasma membrane
MFSD2B,lipid transport
MFSD2B,sphingolipid transporter activity
MFSD2B,sphingosine-1-phosphate receptor signaling pathway
MFSD2B,organic substance transport
MFSD2B,positive regulation of platelet aggregation
MFSD2B,
MFSD3,membrane
MFSD3,transmembrane transporter activity
MFSD3,transmembrane transport
MFSD3,protein binding
MFSD3,
MFSD4A,membrane
MFSD4A,transmembrane transporter activity
MFSD4A,transmembrane transport
MFSD4A,glucose transmembrane transport
MFSD4A,glucose transmembrane transporter activity
MFSD4A,
MFSD4B,membrane
MFSD4B,transmembrane transporter activity
MFSD4B,transmembrane transport
MFSD4B,plasma membrane
MFSD4B,monoatomic ion transport
MFSD4B,symporter activity
MFSD4B,protein binding
MFSD4B,sodium ion transport
MFSD4B,apical plasma membrane
MFSD4B,carbohydrate transport
MFSD4B,glucose transmembrane transport
MFSD4B,glucose transmembrane transporter activity
MFSD4B,
MFSD5,
MFSD5,membrane
MFSD5,molybdate ion transmembrane transporter activity
MFSD5,molybdate ion transport
MFSD5,plasma membrane
MFSD5,monoatomic ion transport
MFSD5,protein binding
MPC1,mitochondrial inner membrane
MPC1,mitochondrial pyruvate transmembrane transport
MPC1,membrane
MPC1,mitochondrion
MPC1,protein binding
MPC1,molecular_function
MPC1,biological_process
MPC1,pyruvate transmembrane transporter activity
MPC1,inner mitochondrial membrane protein complex
MPC1,
MPC1L,mitochondrial inner membrane
MPC1L,mitochondrial pyruvate transmembrane transport
MPC1L,membrane
MPC1L,mitochondrion
MPC1L,pyruvate transmembrane transporter activity
MPC2,mitochondrial inner membrane
MPC2,mitochondrial pyruvate transmembrane transport
MPC2,nucleus
MPC2,membrane
MPC2,mitochondrion
MPC2,protein binding
MPC2,identical protein binding
MPC2,pyruvate transmembrane transporter activity
MPC2,inner mitochondrial membrane protein complex
MPC2,acetyl-CoA biosynthetic process from pyruvate
MPC2,positive regulation of insulin secretion involved in cellular response to glucose stimulus
MTCH1,
MTCH1,membrane
MTCH1,mitochondrion
MTCH1,apoptotic process
MTCH1,mitochondrial outer membrane
MTCH1,protein binding
MTCH1,regulation of signal transduction
MTCH1,positive regulation of apoptotic process
MTCH1,activation of cysteine-type endopeptidase activity involved in apoptotic process
MTCH1,membrane insertase activity
MTCH1,neuronal ion channel clustering
MTCH1,protein insertion into mitochondrial outer membrane
MTCH2,
MTCH2,nucleus
MTCH2,membrane
MTCH2,mitochondrion
MTCH2,mitochondrial outer membrane
MTCH2,protein binding
MTCH2,positive regulation of apoptotic process
MTCH2,lipid homeostasis
MTCH2,membrane insertase activity
MTCH2,positive regulation of stem cell differentiation
MTCH2,protein insertion into mitochondrial outer membrane
MTCH2,protein localization to mitochondrion
MTCH2,regulation of mitochondrial fusion
NIPA1,membrane
NIPA1,magnesium ion transmembrane transporter activity
NIPA1,magnesium ion transport
NIPA1,plasma membrane
NIPA1,monoatomic ion transport
NIPA1,endosome
NIPA1,protein binding
NIPA1,magnesium ion transmembrane transport
NIPA1,early endosome
NIPA1,transmembrane transport
NIPA1,
NIPA2,
NIPA2,membrane
NIPA2,magnesium ion transmembrane transporter activity
NIPA2,magnesium ion transport
NIPA2,plasma membrane
NIPA2,monoatomic ion transport
NIPA2,endosome
NIPA2,magnesium ion transmembrane transport
NIPA2,early endosome
NIPAL1,
NIPAL1,membrane
NIPAL1,magnesium ion transmembrane transporter activity
NIPAL1,magnesium ion transport
NIPAL1,Golgi apparatus
NIPAL1,monoatomic ion transport
NIPAL1,Golgi membrane
NIPAL1,magnesium ion transmembrane transport
NIPAL2,membrane
NIPAL2,magnesium ion transmembrane transporter activity
NIPAL2,magnesium ion transport
NIPAL2,magnesium ion transmembrane transport
NIPAL2,
NIPAL3,membrane
NIPAL3,magnesium ion transmembrane transporter activity
NIPAL3,magnesium ion transport
NIPAL3,protein binding
NIPAL3,magnesium ion transmembrane transport
NIPAL3,
NIPAL4,membrane
NIPAL4,magnesium ion transmembrane transporter activity
NIPAL4,magnesium ion transport
NIPAL4,plasma membrane
NIPAL4,monoatomic ion transport
NIPAL4,protein binding
NIPAL4,magnesium ion transmembrane transport
NIPAL4,
NPC1,membrane
NPC1,lipid transporter activity
